candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-57395565164,롬앤,[NEW] 롬앤 | 미피 베어 워터 쿠션 기획/단품,base,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000175792,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56318640108,롬앤,[NEW] 롬앤 쥬시 알 치크 단품/기획,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219047,manual_review_required,robots_fetch_failed_requires_manual_review
naver-49163445416,롬앤,[롬앤] 베러 댄 치크,cheek,m.a-bly.com,https://m.a-bly.com/goods/2012759?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2012759&coupon_sno=50253092,manual_review_required,terms_not_configured
naver-57918562998,롬앤,롬앤 시스루 베일 라이터 (하이라이터),cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000144887,manual_review_required,robots_fetch_failed_requires_manual_review
naver-53880762390,롬앤,[앞볼륨광] 롬앤 쥬시 알 치크,cheek,chicor.com,https://chicor.com/goods/0000000119859?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-57266357661,롬앤,[롬앤] [NEW] 한올 아이팟 라이너,liner,zigzag.kr,https://zigzag.kr/link/bridge?product_id=165825163&shop_id=14039&utm_source=shopping_naver_all&tab=recommendation,manual_review_required,terms_not_configured
naver-57918522792,롬앤,롬앤 립매터,liner,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000105803,manual_review_required,robots_fetch_failed_requires_manual_review
naver-26824402312,롬앤,[롬앤] 한올 샤프 브로우,brow,chicor.com,https://chicor.com/goods/0000000036952?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-56809639158,롬앤,[롬앤] 한올 브로우 픽서,brow,chicor.com,https://chicor.com/goods/0000000036961?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-43151010847,롬앤,[롬앤] 한올 브로우 카라,brow,chicor.com,https://chicor.com/goods/0000000089063?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-26824402311,롬앤,[롬앤] 한올 플랫 브로우,brow,chicor.com,https://chicor.com/goods/0000000036946?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-51634638110,페리페라,페리페라 잉크 더 에어리 벨벳 4g 6 Colors,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000121562,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57800795317,페리페라,페리페라 올테이크 무드 라이크 팔레트,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000183970,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59047228208,페리페라,[애교살 스틱 증정기획] 페리페라 잉크 포켓 섀도우 팔레트 (단품/기획),shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000124399,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56929117727,페리페라,페리페라 올테이크 무드 팔레트 (+브러쉬 라이너 정품 증정),shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000204450,manual_review_required,robots_fetch_failed_requires_manual_review
naver-54974062511,페리페라,[소다다방 컬렉션] 무드 핏 커버 쿠션,base,clubclio.co.kr,https://clubclio.co.kr/shop/goodsView/0000006126,manual_review_required,terms_not_configured
naver-56910537359,페리페라,[페리페라] 페리페라 필터 핏 밀크 톤업 쿠션 12g,base,gate.halfclub.com,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P406572692&partnerid=naverdb,manual_review_required,robots_fetch_failed_requires_manual_review
naver-48388339219,페리페라,[페리페라] 후 공진향 미 벨벳 파운데이션 팩트,base,gate.halfclub.com,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P364714990&partnerid=naverdb,manual_review_required,robots_fetch_failed_requires_manual_review
