candidateId,brand,category,rankInBrandCategory,productName,priorityScore,selectedForBatch,missingCoreFieldCount,missingFieldGroups,detailCollectionStatus,fetchStatus,domain,sourceStrategy,sourceUrl
naver-60470420609,투쿨포스쿨,base,9,투쿨포스쿨 픽싱 듀 쿠션 본품+리필,92.73,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2702304810?sitmNo=LO2702304810_2702304814&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-43151010847,롬앤,brow,5,한올 브로우 카라,92.58,no,4,color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_complete,fetched,chicor.com,prior_detail_adapter,https://chicor.com/goods/0000000089063?utm_source=naver&utm_medium=cpc&utm_campaign=ep
naver-49163519940,에스쁘아,brow,3,[에스쁘아] 더브로우 밸런스 펜슬 2개 세트,92.48,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/16728941?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=16728941
naver-60089344030,더샘,brow,5,1+1 더샘 에코 소울 아이브로우 키트,92.31,no,4,color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_complete,fetched,www.kshop.co.kr,prior_detail_adapter,http://www.kshop.co.kr/display/ec/product/3015749?with_code=100025&utm_source=naver_ep&utm_medium=cps&utm_campaign=prd_61_%ED%99%94%EC%9E%A5%ED%92%88%2F%EC%9D%B4%EB%AF%B8%EC%9A%A9_3015749&utm_content=pc
naver-59489400071,하트퍼센트,brow,5,하트퍼센트 브로우 컬러 체인저 애쉬 브라운,92.16,no,4,color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_complete,fetched,chicor.com,prior_detail_adapter,https://chicor.com/goods/5100002007500?utm_source=naver&utm_medium=cpc&utm_campaign=ep
naver-83539451185,정샘물 뷰티,liner,6,이런 상품 어때요? 정샘물 아티스트 엣지 아이 펜슬 0.35g,91.75,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_partial,fetched,shopping.naver.com,prior_detail_adapter,https://shopping.naver.com/outlink/itemdetail/5994951697
naver-58981432130,페리페라,brow,5,페리페라 스피디 스키니 브로우 8 Colors,91.72,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000138671
naver-57918520615,클리오,brow,5,클리오 킬브로우 듀얼 타투펜 기획 (타투펜+리무버펜),91.42,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000129242
naver-56976916355,데이지크,liner,6,오션 HD 리퀴드 아이라이너 퍼펙트 블랙+데이지크섀도우 쿨 블렌딩 1개 지급,91.0,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,link.coupang.com,naver_live_offer_title_rule_adapter,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9088658799&ctag=9088658799&lptag=I26706865262&itemId=26706865262&vendorItemId=92008070245&spec=10305199
naver-58714453230,라카,base,8,라카 쿠션 커버 파운데이션 벨벳 매트 데일리 메이크업 본딩 | 셀러허브_뷰티 - 하프클럽,90.97,no,3,shade_options|color_tone_intensity|retail_presence,collected_partial,fetched,gate.halfclub.com,prior_detail_adapter,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P416084605&partnerid=naverdb
