candidateId,brand,productName,category,domain,collectionStatus,failureReason,sourceUrl
naver-49163582154,정샘물 뷰티,[정샘물뷰티] 정샘물 스킨 누더 쿠션 컨실러 10g (더블 엣지 퍼프 2매),base,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/14948575?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=14948575
naver-54279765774,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 (글로스미니 로즈도즈),cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/45014633?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=45014633
naver-56354126230,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 블러 (글로스미니 로즈도즈),cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/50435892?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=50435892
naver-60517649231,정샘물 뷰티,[정샘물뷰티] MINI 정샘물 아티스트 쿠션 블러쉬 or 블러쉬 블러,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/54497232?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=54497232
naver-49163486745,정샘물 뷰티,[정샘물뷰티] 정샘물 컬러피스 블러쉬,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3802256?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3802256
naver-49163491155,정샘물 뷰티,[정샘물뷰티] 정샘물 컬러피스 크림 블러쉬 (스키니탭 퍼프 1ea),cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/16947368?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=16947368
naver-49163537648,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 엣지 아이 펜슬,liner,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3244981?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3244981
naver-49163506150,정샘물 뷰티,[정샘물뷰티] 아티스트 콜 펜 라이너,liner,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/2419339?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2419339
naver-49163486955,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 브로우 쉐이더 슬림,brow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3245040?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3245040
naver-49163464884,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 브로우 포마드,brow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/3245072?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3245072
naver-51881768485,3CE,[로즈코어/혈색생기] 3CE 블러 워터 틴트 4.6g 22종 단품/기획,lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000148591
